,limprep_cd150minus_C10,limprep_cd150minus_C12,limprep_cd150minus_C6,limprep_cd150minus_C9,limprep_cd150minus_D11,limprep_cd150minus_D12,limprep_cd150minus_D3,limprep_cd150minus_D4,limprep_cd150minus_D5,limprep_cd150minus_D8,limprep_cd150minus_D9,limprep_cd150plus_A10,limprep_cd150plus_A11,limprep_cd150plus_A3,limprep_cd150plus_A8,limprep_cd150plus_B11,limprep_cd150plus_B12,limprep_cd150plus_B3,limprep_cd150plus_B4,limprep_cd150plus_B9
ENSMUSG00000023737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
ENSMUSG00000023755,320,139,0,3,1,0,0,45,0,0,0,0,0,397,43,126,0,0,0,154
ENSMUSG00000023764,176,65,177,66,374,317,570,10,10,6,1695,271,61,1049,170,677,1958,160,41,421
ENSMUSG00000023791,210,179,240,338,160,16,0,206,55,0,0,265,2,106,0,34,0,0,0,59
ENSMUSG00000023795,0,0,5,2,0,5,9,1,0,0,124,3,5,1,68,2,3,0,2,1
ENSMUSG00000023800,40,50,65,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1
ENSMUSG00000023805,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,1
ENSMUSG00000023806,13,0,144,0,2,2,0,1,20,0,65,0,6,0,43,55,2,0,0,160
ENSMUSG00000023809,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ENSMUSG00000023827,57,159,0,91,8,2,0,0,0,0,0,145,82,0,0,180,2,0,169,0
ENSMUSG00000023828,0,0,7,0,171,0,0,0,0,0,19,0,0,0,89,21,1,51,145,579
ENSMUSG00000023830,66,11,40,19,24,22,0,41,22,0,2,11,0,0,0,137,81,0,0,26
ENSMUSG00000023832,738,143,183,952,0,1510,0,71,172,1,1,0,0,0,156,1,0,0,0,401
ENSMUSG00000023845,0,28,28,0,953,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0
ENSMUSG00000023846,243,413,210,571,1578,881,0,5,0,72,0,0,10,44,185,194,21,0,0,63
ENSMUSG00000023852,299,522,305,383,89,710,498,90,88,5,0,1,0,443,4,128,527,0,308,72
ENSMUSG00000023861,1,33,5,3,242,606,37,2,0,1,0,0,0,0,0,57,0,0,0,1
ENSMUSG00000023868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0
ENSMUSG00000023873,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023882,0,31,0,1,0,0,1,36,0,1,0,0,0,0,0,72,0,28,0,0
ENSMUSG00000023883,592,221,380,510,0,35,239,13,29,348,1,0,0,0,0,0,1057,5,354,1
ENSMUSG00000023885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023892,0,8,157,0,23,0,2,0,0,0,0,0,3,0,3,39,149,0,0,0
ENSMUSG00000023904,422,432,29,82,0,2,239,69,34,37,0,0,0,108,0,68,0,0,0,44
ENSMUSG00000023905,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,0
ENSMUSG00000023908,138,16,400,205,0,0,0,3,18,0,0,0,0,236,7,50,0,0,250,674
ENSMUSG00000023909,104,0,51,17,0,0,0,0,0,0,1,0,0,5,1,0,0,0,3,17
ENSMUSG00000023911,4,0,26,0,0,15,232,0,0,0,520,0,114,0,7,1,2,1,0,580
ENSMUSG00000023912,0,0,0,0,0,369,534,0,0,0,1229,0,0,0,0,564,0,0,0,11
ENSMUSG00000023915,0,57,30,1,941,12,0,0,5,0,0,0,0,0,3,246,3,0,26,24
ENSMUSG00000023918,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023919,333,703,500,1815,0,4,1,276,749,25,1,0,11,0,24,495,1,1,740,1375
ENSMUSG00000023921,223,539,45,42,0,12,729,63,0,64,1,0,0,0,15,187,337,0,0,256
ENSMUSG00000023923,214,639,157,206,643,0,0,36,67,0,0,65,4,310,117,615,98,0,0,1
ENSMUSG00000023926,1530,729,1073,1279,0,0,0,195,871,249,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000023927,0,0,0,0,426,174,471,0,0,0,16,0,0,125,0,0,0,1,0,3
ENSMUSG00000023930,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023932,590,691,436,265,16,47,0,117,99,163,3123,53,730,554,611,209,1412,0,1,530
